customer_id,RECENCY,FREQUENCY,MONETARY,r_score,f_score,m_score,r_rank,f_rank,m_rank,Segmentation
26014,220,238,3014428000,0.717936803,0.020539033,0,3,1,1,Loyal Customers
2367,3,876,2120351472,0.117193309,0.001022305,9.29E-05,1,1,1,VIP Customers
21807,7,725,1943959057,0.210966543,0.001301115,0.000185874,1,1,1,VIP Customers
7012,5,964,1752879329,0.163754647,0.000743494,0.00027881,1,1,1,VIP Customers
7678,13,510,1546186176,0.30232342,0.003996283,0.000371747,2,1,1,VIP Customers
12191,12,521,1515694818,0.292936803,0.003717472,0.000464684,2,1,1,VIP Customers
7428,0,307,1440203260,0,0.012174721,0.000557621,1,1,1,VIP Customers
10954,0,1278,1434599390,0,0.000371747,0.000650558,1,1,1,VIP Customers
23172,4,325,1422109914,0.142750929,0.010687732,0.000743494,1,1,1,VIP Customers
1394,5,588,1393711574,0.163754647,0.002509294,0.000836431,1,1,1,VIP Customers
19171,3,535,1348307854,0.117193309,0.003252788,0.000929368,1,1,1,VIP Customers
15739,2,910,1337095831,0.088197026,0.000929368,0.001022305,1,1,1,VIP Customers
18313,4,593,1320432790,0.142750929,0.00232342,0.001115242,1,1,1,VIP Customers
3679,5,232,1305054070,0.163754647,0.021468401,0.001208178,1,1,1,VIP Customers
26884,16,167,1244310317,0.33401487,0.03605948,0.001301115,2,1,1,VIP Customers
5082,4,359,1216899625,0.142750929,0.008921933,0.001394052,1,1,1,VIP Customers
5786,8,525,1216245807,0.232342007,0.003624535,0.001486989,1,1,1,VIP Customers
16830,0,1372,1154589166,0,0.00027881,0.001579926,1,1,1,VIP Customers
8774,0,591,1151053775,0,0.002416357,0.001672862,1,1,1,VIP Customers
3065,4,1218,1128910066,0.142750929,0.000464684,0.001765799,1,1,1,VIP Customers
12096,32,325,1122587276,0.443494424,0.010687732,0.001858736,2,1,1,VIP Customers
339,33,415,1118178152,0.446840149,0.006319703,0.001951673,2,1,1,VIP Customers
6025,0,411,1112954378,0,0.006505576,0.00204461,1,1,1,VIP Customers
16621,54,636,1106921071,0.530669145,0.001951673,0.002137546,3,1,1,Loyal Customers
26246,7,511,1100292130,0.210966543,0.003903346,0.002230483,1,1,1,VIP Customers
6903,165,462,1083658905,0.692100372,0.005297398,0.00232342,3,1,1,Loyal Customers
122,0,545,1075445732,0,0.003066914,0.002416357,1,1,1,VIP Customers
19011,1,563,1067737093,0.050185874,0.002788104,0.002509294,1,1,1,VIP Customers
15185,4,400,1058405515,0.142750929,0.00697026,0.00260223,1,1,1,VIP Customers
21875,9,438,1057455017,0.24972119,0.005576208,0.002695167,1,1,1,VIP Customers
16709,0,917,1053920124,0,0.000836431,0.002788104,1,1,1,VIP Customers
7146,4,397,1023387027,0.142750929,0.007249071,0.002881041,1,1,1,VIP Customers
22237,2,242,1022781271,0.088197026,0.019516729,0.002973978,1,1,1,VIP Customers
10742,21,154,1009077748,0.388289963,0.039962825,0.003066914,2,1,1,VIP Customers
7310,0,410,988540143,0,0.006598513,0.003159851,1,1,1,VIP Customers
21569,21,496,984741635,0.388289963,0.004553903,0.003252788,2,1,1,VIP Customers
6554,0,366,976408913,0,0.008550186,0.003345725,1,1,1,VIP Customers
13606,8,227,963575155,0.232342007,0.022304833,0.003438662,1,1,1,VIP Customers
9147,7,208,949979468,0.210966543,0.025557621,0.003531599,1,1,1,VIP Customers
19225,0,1617,946257370,0,9.29E-05,0.003624535,1,1,1,VIP Customers
13006,9,695,944553124,0.24972119,0.001579926,0.003717472,1,1,1,VIP Customers
